date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:19	234/234	---M-Z	200	added ('OK')	text/plain	etag:%22231-5d925dfcb0406-gzip%22	https://kosmostabir.org/robots.txt		(from )
12:43:19	39187/39187	---M-Z	200	added ('OK')	text/html	etag:%229913-5d7aa9cb33b9a-gzip%22	https://kosmostabir.org/	C:/My%20Web%20Sites/Kosmos/kosmostabir.org/index.html	(from )
12:43:20	1013615/1013615	---M--	200	added ('OK')	image/png	etag:%224f54b1a26fd72a031ac0561f2daf6f16%22	https://static.tildacdn.com/tild3038-6436-4563-b233-366434376237/__.png	C:/My%20Web%20Sites/Kosmos/static.tildacdn.com/tild3038-6436-4563-b233-366434376237/__.png	(from https://kosmostabir.org/)
12:43:20	8411/8411	---M--	200	added ('OK')	image/png	etag:%22877558afb37d5e8392e21074440021af%22	https://static.tildacdn.com/tild6364-3765-4561-a237-383065343732/mstile-150x150.png	C:/My%20Web%20Sites/Kosmos/static.tildacdn.com/tild6364-3765-4561-a237-383065343732/mstile-150x150.png	(from https://kosmostabir.org/)
12:43:20	67573/67573	---M--	200	added ('OK')	image/png	etag:%227f2657157c841bc81845d3e71f987fb8%22	https://static.tildacdn.com/tild3636-6465-4132-b034-333939646134/android-chrome-256x2.png	C:/My%20Web%20Sites/Kosmos/static.tildacdn.com/tild3636-6465-4132-b034-333939646134/android-chrome-256x2.png	(from https://kosmostabir.org/)
12:43:21	4112/4112	---MCZ	200	added ('OK')	text/css	etag:W/%22605342c5-1010%22	https://static.tildacdn.com/css/tilda-grid-3.0.min.css	C:/My%20Web%20Sites/Kosmos/static.tildacdn.com/css/tilda-grid-3.0.min.css	(from https://kosmostabir.org/)
12:43:21	262824/262824	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Mar%202022%2010:24:22%20GMT	https://ws.tildacdn.com/project1046957/tilda-blocks-2.14.css?t=1644502656	C:/My%20Web%20Sites/Kosmos/ws.tildacdn.com/project1046957/tilda-blocks-2.1433ec.css	(from https://kosmostabir.org/)
12:43:21	10404/10404	---MCZ	200	added ('OK')	text/css	etag:W/%2260e1ba21-28a4%22	https://static.tildacdn.com/css/tilda-animation-1.0.min.css	C:/My%20Web%20Sites/Kosmos/static.tildacdn.com/css/tilda-animation-1.0.min.css	(from https://kosmostabir.org/)
12:43:21	6732/6732	---MCZ	200	added ('OK')	text/css	etag:W/%2260db231a-1a4c%22	https://static.tildacdn.com/css/tilda-forms-1.0.min.css	C:/My%20Web%20Sites/Kosmos/static.tildacdn.com/css/tilda-forms-1.0.min.css	(from https://kosmostabir.org/)
12:43:22	93064/93064	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260852438-16b88%22	https://static.tildacdn.com/js/jquery-1.10.2.min.js	C:/My%20Web%20Sites/Kosmos/static.tildacdn.com/js/jquery-1.10.2.min.js	(from https://kosmostabir.org/)
12:43:22	12170/12170	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261bb2e99-2f8a%22	https://static.tildacdn.com/js/tilda-scripts-3.0.min.js	C:/My%20Web%20Sites/Kosmos/static.tildacdn.com/js/tilda-scripts-3.0.min.js	(from https://kosmostabir.org/)
12:43:22	156743/156743	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Mar%202022%2010:24:23%20GMT	https://ws.tildacdn.com/project1046957/tilda-blocks-2.7.js?t=1644502656	C:/My%20Web%20Sites/Kosmos/ws.tildacdn.com/project1046957/tilda-blocks-2.733ec.js	(from https://kosmostabir.org/)
12:43:22	17878/17878	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261fbee8f-45d6%22	https://static.tildacdn.com/js/lazyload-1.3.min.js	C:/My%20Web%20Sites/Kosmos/static.tildacdn.com/js/lazyload-1.3.min.js	(from https://kosmostabir.org/)
